type	distance
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	1
obj	5
obj	1
obj	2
cp	1
obj	3
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	2
obj	1
obj	3
cp	1
cp	1
obj	7
obj	1
obj	2
cp	1
cp	1
obj	3
cp	1
cp	1
obj	1
cp	1
obj	4
cp	1
obj	1
cp	1
cp	1
cp	1
obj	7
obj	8
cp	1
obj	1
obj	1
cp	1
obj	1
obj	2
obj	1
obj	2
cp	1
obj	1
cp	1
cp	1
obj	1
cp	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	4
obj	6
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
obj	3
cp	1
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	2
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	4
cp	1
cp	1
obj	1
cp	1
obj	3
cp	1
obj	1
obj	1
obj	3
cp	1
obj	5
obj	1
obj	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	3
cp	1
cp	1
cp	1
cp	1
cp	1
obj	3
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	7
cp	1
obj	1
obj	1
obj	3
obj	1
cp	5
cp	1
cp	2
obj	2
obj	2
obj	6
cp	1
obj	1
obj	1
obj	1
obj	7
obj	1
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	5
cp	1
obj	1
obj	3
obj	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
cp	1
cp	1
obj	2
obj	1
obj	1
obj	5
cp	1
obj	1
obj	3
cp	1
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	3
obj	1
cp	1
obj	4
obj	3
obj	1
cp	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
cp	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	3
obj	1
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	3
cp	1
cp	1
obj	2
cp	1
obj	4
cp	1
obj	1
cp	1
obj	1
cp	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	4
cp	1
cp	1
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
cp	1
cp	1
cp	1
obj	4
obj	1
cp	1
obj	3
cp	1
cp	1
cp	1
obj	1
cp	1
cp	1
obj	2
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
obj	1
obj	1
cp	1
cp	6
obj	1
obj	2
cp	1
cp	4
cp	1
obj	4
cp	1
obj	7
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	2
cp	1
cp	9
cp	1
obj	1
cp	1
cp	1
cp	1
obj	2
obj	10
cp	1
obj	2
cp	1
obj	5
cp	1
obj	13
cp	2
obj	1
cp	1
obj	3
cp	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	1
cp	1
obj	2
obj	3
obj	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	3
cp	1
cp	1
obj	1
obj	2
cp	1
obj	1
cp	1
obj	1
obj	1
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
cp	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	1
cp	1
obj	4
cp	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	5
cp	1
obj	3
obj	1
obj	12
obj	5
cp	1
cp	1
obj	1
cp	1
obj	6
obj	2
cp	1
cp	1
obj	1
obj	7
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
obj	2
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	4
cp	1
obj	1
obj	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	6
cp	1
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	6
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	2
obj	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
cp	6
cp	1
cp	1
obj	1
obj	1
cp	1
cp	2
cp	1
cp	1
cp	1
cp	1
cp	1
cp	1
cp	2
obj	1
obj	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
cp	2
obj	8
obj	2
obj	1
cp	1
obj	1
obj	2
cp	1
obj	2
obj	1
cp	1
obj	1
obj	1
obj	1
obj	1
obj	1
obj	1
cp	1
cp	1
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
obj	6
obj	3
cp	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	2
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
cp	2
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	8
cp	1
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	2
cp	1
obj	5
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
cp	1
cp	1
cp	1
obj	1
cp	1
cp	1
obj	6
cp	1
cp	1
obj	6
cp	1
obj	2
cp	1
obj	3
cp	1
cp	1
obj	1
obj	3
cp	1
obj	3
cp	1
cp	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	9
cp	1
obj	1
obj	1
obj	1
obj	1
cp	1
obj	2
obj	2
obj	1
obj	1
obj	1
obj	7
obj	5
obj	3
cp	1
obj	2
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	2
obj	2
cp	1
cp	2
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	3
cp	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	3
cp	1
obj	2
obj	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	3
obj	3
cp	1
cp	1
obj	2
cp	1
obj	1
obj	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	3
cp	1
cp	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	1
cp	1
cp	1
obj	2
obj	4
cp	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	2
obj	2
cp	1
obj	1
cp	1
obj	2
cp	1
obj	3
obj	1
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	6
obj	2
cp	1
cp	1
obj	1
obj	1
cp	1
obj	3
obj	1
cp	1
cp	1
obj	6
cp	1
obj	8
cp	1
obj	2
cp	2
cp	1
obj	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
obj	1
obj	4
cp	1
obj	1
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	1
obj	3
obj	1
cp	1
obj	3
obj	1
obj	3
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	1
cp	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	2
obj	1
obj	1
obj	2
cp	1
obj	1
obj	3
cp	1
cp	1
cp	1
cp	1
obj	1
obj	2
obj	3
cp	1
obj	8
obj	2
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	3
obj	3
obj	1
cp	1
cp	1
cp	1
cp	3
obj	1
obj	20
cp	1
cp	1
obj	1
obj	2
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	2
obj	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	5
cp	1
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	5
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	2
obj	1
cp	1
obj	1
obj	1
cp	3
obj	2
cp	1
obj	2
obj	2
cp	1
obj	1
obj	2
cp	1
cp	2
obj	1
obj	1
obj	2
cp	1
cp	1
obj	4
cp	1
obj	2
cp	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
cp	1
cp	2
cp	2
obj	2
cp	1
obj	2
obj	1
cp	1
obj	2
cp	1
obj	1
cp	1
obj	8
cp	1
obj	1
cp	1
obj	1
obj	3
obj	1
cp	4
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	7
cp	1
obj	3
obj	1
cp	1
obj	1
cp	1
obj	1
obj	3
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	2
cp	1
cp	1
cp	1
cp	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
cp	1
cp	1
obj	1
obj	1
cp	1
cp	1
cp	1
obj	3
obj	1
obj	2
cp	1
cp	1
obj	2
obj	1
obj	1
obj	2
cp	1
obj	2
obj	2
obj	1
cp	4
cp	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
obj	4
obj	1
cp	1
cp	1
obj	1
obj	3
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
cp	1
cp	1
obj	2
cp	1
cp	9
obj	3
obj	4
cp	1
cp	1
obj	1
cp	1
cp	1
obj	2
cp	1
obj	2
obj	1
obj	2
cp	1
obj	1
obj	3
obj	4
obj	1
obj	1
obj	3
obj	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	5
obj	1
cp	1
cp	1
obj	3
obj	2
obj	2
cp	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	1
obj	2
obj	2
cp	1
obj	1
obj	2
cp	1
obj	2
obj	2
cp	1
obj	2
obj	2
cp	1
obj	1
cp	1
obj	2
obj	2
obj	5
obj	1
obj	3
obj	2
obj	1
obj	2
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
cp	1
obj	2
obj	1
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	3
cp	1
obj	6
cp	1
obj	1
obj	5
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	2
cp	1
obj	4
cp	1
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	3
cp	2
obj	2
obj	2
cp	1
obj	1
obj	5
cp	1
cp	1
cp	1
cp	1
obj	7
cp	1
obj	1
obj	1
cp	1
cp	1
cp	1
obj	3
cp	1
obj	4
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
cp	1
cp	1
obj	7
cp	1
obj	3
obj	1
cp	1
obj	2
obj	1
cp	1
obj	1
obj	2
obj	3
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	2
cp	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	2
obj	4
cp	1
obj	1
obj	2
cp	1
obj	3
obj	1
obj	1
obj	3
cp	1
cp	5
obj	2
cp	1
cp	1
obj	1
obj	4
cp	1
obj	2
cp	1
obj	6
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
obj	2
cp	1
obj	2
obj	2
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
cp	2
obj	3
cp	1
cp	1
cp	1
obj	2
cp	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	3
cp	1
obj	8
cp	1
cp	1
cp	1
cp	1
obj	6
cp	1
obj	2
cp	6
cp	1
obj	2
cp	1
obj	1
cp	1
obj	2
obj	1
cp	1
obj	2
cp	1
obj	1
cp	1
cp	6
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
obj	1
cp	1
cp	1
obj	1
cp	1
cp	2
cp	1
obj	3
cp	1
obj	1
obj	2
obj	1
obj	3
cp	1
obj	1
cp	1
cp	1
cp	1
cp	1
cp	4
obj	1
cp	1
obj	1
obj	1
cp	1
obj	2
obj	7
obj	2
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	1
obj	7
cp	1
obj	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	2
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	3
cp	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	1
obj	4
cp	1
obj	3
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	2
cp	1
obj	2
obj	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	1
cp	1
cp	1
cp	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	3
cp	1
cp	4
obj	1
cp	1
obj	2
cp	1
cp	1
cp	2
cp	1
obj	1
obj	7
obj	2
obj	3
cp	1
cp	1
obj	1
obj	2
obj	9
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	5
obj	3
obj	1
cp	1
obj	1
cp	1
obj	1
cp	6
obj	2
cp	1
obj	2
obj	2
cp	1
obj	18
obj	1
obj	1
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	3
cp	1
obj	3
obj	1
obj	2
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
cp	4
obj	1
obj	4
obj	2
obj	5
cp	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	1
cp	1
obj	2
cp	1
obj	5
cp	1
obj	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	3
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
cp	2
obj	1
obj	1
cp	1
cp	1
cp	1
obj	2
obj	1
obj	2
obj	1
obj	7
obj	1
obj	1
obj	9
cp	1
obj	9
cp	1
cp	8
obj	1
obj	2
cp	1
obj	1
obj	6
cp	1
obj	3
cp	1
cp	1
obj	1
obj	2
cp	1
obj	2
obj	4
cp	1
cp	1
obj	1
cp	1
obj	6
cp	1
cp	1
obj	6
cp	1
cp	1
obj	6
cp	1
obj	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	2
obj	2
cp	1
obj	1
cp	1
obj	1
cp	1
obj	4
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	3
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	2
cp	1
obj	5
cp	1
obj	2
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
cp	1
cp	1
obj	3
cp	1
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
cp	3
obj	4
cp	1
cp	1
cp	1
cp	1
cp	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	1
obj	4
cp	1
obj	7
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	2
obj	1
obj	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	2
obj	2
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	1
obj	2
obj	2
cp	1
cp	1
obj	1
obj	3
cp	1
obj	2
obj	2
cp	1
obj	1
obj	1
obj	2
cp	1
obj	2
obj	4
cp	1
cp	1
cp	1
cp	1
obj	1
obj	10
cp	1
obj	1
obj	2
obj	1
cp	1
obj	1
obj	1
cp	1
cp	1
cp	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	2
obj	1
obj	2
cp	1
cp	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	3
cp	1
cp	1
cp	1
cp	1
cp	1
obj	2
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
cp	1
cp	1
cp	1
obj	1
obj	2
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	4
cp	1
obj	2
cp	1
cp	1
obj	1
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	2
cp	1
cp	1
obj	4
obj	1
obj	3
obj	4
cp	1
obj	2
cp	1
obj	1
obj	1
obj	5
cp	1
obj	3
obj	2
obj	2
cp	1
cp	1
obj	1
obj	2
cp	1
obj	1
cp	1
cp	1
obj	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	6
cp	1
obj	2
cp	3
cp	1
obj	7
cp	1
cp	1
obj	6
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
cp	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	3
cp	1
obj	1
cp	1
cp	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	3
obj	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	3
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	1
cp	2
obj	2
cp	1
obj	1
obj	1
cp	8
obj	2
cp	1
obj	1
obj	3
cp	1
obj	1
cp	1
cp	1
obj	1
obj	2
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	4
obj	1
obj	2
cp	1
obj	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	1
obj	1
cp	1
cp	1
obj	1
obj	3
cp	2
obj	2
obj	1
obj	1
cp	1
obj	1
cp	1
obj	1
cp	1
obj	6
obj	4
obj	1
obj	4
cp	1
cp	1
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
obj	6
cp	1
obj	1
obj	3
obj	2
cp	1
cp	1
obj	1
obj	4
cp	1
obj	3
cp	1
cp	1
obj	4
cp	1
cp	1
obj	2
cp	1
cp	1
cp	3
obj	2
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
cp	1
obj	3
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	3
cp	1
cp	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	7
obj	1
obj	4
cp	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	3
cp	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	2
obj	7
obj	1
obj	1
obj	1
obj	1
cp	1
obj	5
cp	1
obj	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	4
obj	2
cp	1
obj	1
cp	1
obj	4
cp	1
cp	1
obj	3
cp	1
obj	9
obj	1
obj	3
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	3
cp	1
cp	1
obj	2
cp	1
obj	1
cp	1
obj	1
cp	1
cp	1
obj	2
cp	1
obj	17
obj	13
obj	2
cp	1
cp	1
obj	1
obj	6
obj	3
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	1
obj	3
obj	1
obj	2
obj	2
obj	1
cp	1
obj	4
obj	2
obj	1
obj	1
obj	1
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	4
cp	1
cp	3
obj	7
cp	1
obj	1
cp	1
obj	1
obj	1
obj	3
cp	1
cp	1
obj	4
cp	1
obj	1
obj	1
cp	1
cp	1
obj	3
obj	2
obj	1
obj	1
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
cp	1
cp	6
obj	1
obj	2
obj	1
obj	1
obj	1
obj	1
cp	2
obj	1
cp	1
obj	1
cp	1
cp	1
obj	3
cp	1
obj	1
obj	1
obj	3
cp	1
cp	1
cp	1
obj	2
obj	1
cp	3
cp	1
obj	2
cp	1
obj	1
cp	1
obj	2
cp	1
obj	1
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
obj	1
obj	2
cp	1
obj	1
cp	1
obj	1
obj	2
obj	1
obj	9
cp	1
obj	4
obj	3
cp	1
obj	5
obj	3
cp	1
obj	8
obj	2
obj	1
obj	4
cp	1
obj	4
cp	1
cp	1
obj	2
cp	1
obj	3
cp	1
obj	4
cp	1
obj	3
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
cp	2
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	1
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	2
obj	1
cp	1
obj	1
cp	1
obj	4
obj	8
cp	1
obj	7
cp	1
obj	1
obj	2
cp	1
obj	2
obj	1
cp	1
obj	2
cp	1
obj	1
obj	8
cp	1
obj	1
cp	3
obj	2
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
obj	1
obj	3
cp	1
obj	5
cp	1
obj	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	2
cp	1
obj	1
obj	1
obj	2
obj	1
obj	1
obj	1
cp	1
obj	2
obj	4
cp	1
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
cp	1
cp	1
obj	3
obj	2
cp	1
cp	1
obj	2
cp	1
cp	1
obj	2
cp	1
cp	2
obj	3
cp	1
cp	1
obj	1
obj	4
obj	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	4
obj	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	5
cp	1
obj	1
obj	1
obj	7
cp	1
obj	2
cp	1
obj	1
cp	1
cp	1
obj	2
cp	1
obj	1
cp	1
obj	1
cp	1
obj	6
cp	1
cp	1
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
obj	3
cp	1
cp	1
obj	5
cp	1
cp	1
obj	3
obj	12
cp	1
cp	1
obj	1
cp	1
cp	1
cp	1
obj	6
obj	2
cp	1
cp	1
obj	1
cp	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
obj	1
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	1
obj	1
obj	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	2
obj	2
cp	1
obj	2
obj	2
obj	1
obj	1
obj	1
obj	2
cp	1
cp	1
cp	1
obj	1
cp	1
obj	1
obj	2
obj	2
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	10
cp	1
cp	1
cp	1
obj	8
cp	1
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	4
cp	1
obj	1
obj	2
cp	1
obj	4
obj	1
cp	1
cp	1
obj	2
cp	1
obj	3
obj	3
obj	2
cp	1
obj	6
obj	3
cp	2
obj	1
obj	1
cp	1
obj	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	1
obj	1
obj	1
obj	5
cp	3
obj	1
obj	3
cp	1
cp	1
obj	4
cp	1
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	2
cp	1
obj	1
cp	1
obj	3
cp	1
obj	2
cp	1
cp	1
obj	1
obj	3
cp	1
cp	1
obj	1
obj	2
obj	1
obj	3
cp	1
obj	1
obj	2
cp	1
cp	1
cp	1
obj	1
obj	1
cp	1
obj	1
obj	2
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
cp	1
obj	3
cp	1
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	1
obj	1
obj	2
cp	1
cp	1
cp	1
cp	1
obj	1
obj	4
obj	4
cp	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
cp	1
obj	4
cp	1
obj	3
obj	1
cp	1
cp	1
cp	1
cp	1
obj	2
cp	1
cp	1
cp	1
obj	2
cp	1
obj	1
cp	1
obj	1
cp	1
obj	4
cp	1
cp	1
cp	1
obj	3
cp	1
obj	7
cp	1
cp	1
cp	1
obj	2
cp	1
obj	1
obj	2
cp	1
cp	1
obj	1
obj	2
cp	1
obj	1
cp	1
cp	1
obj	1
cp	1
obj	2
cp	1
obj	2
cp	1
obj	1
obj	1
obj	1
cp	1
obj	1
obj	1
cp	1
cp	1
obj	1
obj	2
obj	1
obj	1
obj	1
cp	2
obj	1
cp	1
obj	1
obj	2
cp	1
obj	1
obj	2
obj	1
obj	2
cp	1
obj	2
obj	4
obj	1
obj	3
obj	2
obj	1
cp	1
obj	4
cp	1
cp	3
obj	3
obj	1
obj	1
cp	1
obj	2
cp	1
obj	1
obj	1
obj	2
cp	1
obj	1
cp	1
cp	3
obj	1
obj	4
obj	1
obj	2
cp	1
obj	2
cp	1
cp	1
obj	1
obj	2
cp	1
obj	1
cp	1
obj	2
obj	1
obj	3
cp	1
obj	3
obj	1
obj	11
cp	1
obj	4
obj	1
obj	1
obj	7
